commit,refactoring type,description,tool,validation,note
https://github.com/kkroening/ffmpeg-python/commit/9a487e8603bf881519cd04afe34c1272adfa7d15,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run__dummy_cmd_list"" is renamed to ""test__run__dummy_cmd_list""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/9a487e8603bf881519cd04afe34c1272adfa7d15,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run__error"" is renamed to ""test__run__error""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/9a487e8603bf881519cd04afe34c1272adfa7d15,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run__input_output"" is renamed to ""test__run__input_output""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/9a487e8603bf881519cd04afe34c1272adfa7d15,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run__multi_output"" is renamed to ""test__run__multi_output""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/9a487e8603bf881519cd04afe34c1272adfa7d15,Change/Rename Parameter,"Location: ffmpeg/_run.py/Error
The parameter(s) ""stream_spec"" of the method ""__init__"" in the class ""Error"" is/are changed/renamed to ""cmd""",PyRef,FP,
https://github.com/kkroening/ffmpeg-python/commit/ac57e2df132d4ea05dacee642de74d057bd98f5d,Add Parameter,"Location: ffmpeg/_run.py
The parameter(s) ""overwrite_output""is/are added to the method ""compile""",PyRef,FP,
https://github.com/kkroening/ffmpeg-python/commit/ac57e2df132d4ea05dacee642de74d057bd98f5d,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_custom_filter"" is renamed to ""test_filter__custom""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/ac57e2df132d4ea05dacee642de74d057bd98f5d,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_custom_filter_fluent"" is renamed to ""test_filter__custom_fluent""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/ac57e2df132d4ea05dacee642de74d057bd98f5d,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run_dummy_cmd"" is renamed to ""test_run__dummy_cmd""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/ac57e2df132d4ea05dacee642de74d057bd98f5d,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run_dummy_cmd_list"" is renamed to ""test_run__dummy_cmd_list""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/ac57e2df132d4ea05dacee642de74d057bd98f5d,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_run_multi_output"" is renamed to ""test_run__multi_output""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/c162eab2a9d4af50653d460cf2ed30eff00f4475,Rename Method,"Location: ffmpeg/tests/test_ffmpeg.py
The method ""test_filter_with_bad_selectors"" is renamed to ""test_get_item_with_bad_selectors""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/f3b32d6d41d65701aa65bae951518e1ec387b483,Change/Rename Parameter,"Location: ffmpeg/__init__.py/_FileOutputNode
The parameter(s) ""parents"" of the method ""__init__"" in the class ""_FileOutputNode"" is/are changed/renamed to ""parent""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/f5f7ee20730f2beca5db80933f11d880e1f22a0c,Add Parameter,"Location: examples/split_silence.py
The parameter(s) ""verbose""is/are added to the method ""split_audio""",PyRef,TP,
https://github.com/kkroening/ffmpeg-python/commit/f818cffc557e032e5a61949ced8bcda96d616660,Extract Method,"Location: ffmpeg/_run.py
The method ""compile"" is extracted from the method ""run""",PyRef,TP,
https://github.com/asyml/texar/commit/005bf9164b063c47e354e170ae40ec1e1b94fae4,Rename Method,"Location: txtgen/data/database.py
The method ""default_text_dataset_hparams"" is renamed to ""default_text_database_hparams""",PyRef,TP,
https://github.com/asyml/texar/commit/01e28359f84a4f833b3b2c5991e8a903bbc8b3f3,Add Parameter,"Location: texar/modules/embedders/embedder_base.py
Add Parameter	dropout_input : Any in method package _get_dropout_layer(self EmbedderBase, hparams Any, ids_rank Any, dropout_input Any, dropout_strategy Any) : void from class org.texar.modules.embedders.embedder_base.EmbedderBase",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/05d52b6b1b9c2f54835363b022037743f778ad83,Add Parameter,"Location: texar/modules/encoders/rnn_encoders.py
Add Parameter	time_major : Any in method package _build(self UnidirectionalRNNEncoder, inputs Any, sequence_length Any, initial_state Any, time_major Any, mode Any) : void from class org.texar.modules.encoders.rnn_encoders.UnidirectionalRNNEncoder Add Parameter	mode : Any in method package _build(self UnidirectionalRNNEncoder, inputs Any, sequence_length Any, initial_state Any, time_major Any, mode Any) : void from class org.texar.modules.encoders.rnn_encoders.UnidirectionalRNNEncoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/0ac875d1a09f90e6bbeb5a14748d30f7212c1074,Rename Method,"Location: txtgen/modules/networks.py/FeedForwardNetwork
The method ""name"" in the class ""FeedForwardNetwork"" is renamed to ""layer_names""",PyRef,TP,
https://github.com/asyml/texar/commit/0ac875d1a09f90e6bbeb5a14748d30f7212c1074,Rename Method,"Location: txtgen/modules/networks.py/FeedForwardNetwork
The method ""hparams"" in the class ""FeedForwardNetwork"" is renamed to ""layers""",PyRef,FP,
https://github.com/asyml/texar/commit/0b1470bc7003225c306d6a5841c3b92406373dd5,Add Parameter,"Location: texar/modules/networks.py/FeedForwardNetwork
The parameter(s) ""mode"" in the class ""FeedForwardNetwork""is/are added to the method ""_build""",PyRef,TP,
https://github.com/asyml/texar/commit/0b3b53be1a37522eae9810c83199724f2472d958,Rename Method,"Location: txtgen/modules/encoders/encoder_base.py/EncoderBase
The method ""encode"" in the class ""EncoderBase"" is renamed to ""_build""",PyRef,FP,
https://github.com/asyml/texar/commit/13608828e7f18419a60e1cbd244c2af070d5737c,Rename Method,"Location: texar/core/layers.py
The method ""normalize"" is renamed to ""layer_normalize""",PyRef,TP,
https://github.com/asyml/texar/commit/13e644561a3f8f11babe91a1407dea1635d62337,Add Parameter,"Location: texar/modules/encoders/hierarchical_encoders.py
Add Parameter	initial_state_major : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, sequence_length_major Any, sequence_length_minor Any, initial_state_major Any, initial_state_minor Any, tiled_initial_state_minor Any) : void from class org.texar.modules.encoders.hierarchical_encoders.HierarchicalRNNEncoder Add Parameter	initial_state_minor : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, sequence_length_major Any, sequence_length_minor Any, initial_state_major Any, initial_state_minor Any, tiled_initial_state_minor Any) : void from class org.texar.modules.encoders.hierarchical_encoders.HierarchicalRNNEncoder
Add Parameter	tiled_initial_state_minor : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, sequence_length_major Any, sequence_length_minor Any, initial_state_major Any, initial_state_minor Any, tiled_initial_state_minor Any) : void from class org.texar.modules.encoders.hierarchical_encoders.HierarchicalRNNEncoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/14dbd00c23dcb75089440d576c7da78558bb628a,Remove Parameter,"Location: texar/modules/embedders/position_embedders.py
Remove Parameter	dim : Any in method package _build(self SinusoidsPositionEmbedder, position_size Any, dim Any) : void from class org.texar.modules.embedders.position_embedders.SinusoidsPositionEmbedder",Python-adapted RMiner,CTP,"Conditional true positive: parameters got merged, thus one parameter is removed. As merge parameter is not supported in PyRef yet, to be fair, we consider it as CTP"
https://github.com/asyml/texar/commit/151bd0b30ac2a967607d9f9aa7d16a6ec7114929,Rename Method,"Location: texar/models/tsf/tsf.py/TSF
The method ""_build_inputs"" in the class ""TSF"" is renamed to ""build_inputs""",PyRef,TP,
https://github.com/asyml/texar/commit/151bd0b30ac2a967607d9f9aa7d16a6ec7114929,Change/Rename Parameter,"Location: texar/models/tsf/tsf.py/TSF
The parameter(s) ""is_train"" of the method ""feed_dict"" in the class ""TSF"" is/are changed/renamed to ""mode""",PyRef,TP,
https://github.com/asyml/texar/commit/1a7fa6010b7234bb9efddf761c9bf52af07dc347,Add Parameter,"Location: texar/modules/embedders/embedder_base.py
Add Parameter	dropout_strategy : Any in method package _get_dropout_layer(self EmbedderBase, hparams Any, inputs Any, dropout_strategy Any) : void from class org.texar.modules.embedders.embedder_base.EmbedderBase",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/1c44b7951e582b0fe3e5423b5fdc8261536befd6,Add Parameter,"Location: texar/evals/bleu.py
Add Parameter	return_all : Any in method package sentence_bleu(references Any, hypothesis Any, lowercase Any, return_all Any) : void from class org.texar.evals.bleu.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/1c44b7951e582b0fe3e5423b5fdc8261536befd6,Add Parameter,"Location: texar/evals/bleu.py
Add Parameter	return_all : Any in method package corpus_bleu(list_of_references Any, hypotheses Any, lowercase Any, return_all Any) : void from class org.texar.evals.bleu.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/1c44b7951e582b0fe3e5423b5fdc8261536befd6,Add Parameter,"Location: texar/evals/bleu_test.py
Add Parameter	return_all : Any in method package _test_corpus_bleu(self BLEUTest, list_of_references Any, hypotheses Any, lowercase Any, return_all Any, true_bleu Any) : void from class org.texar.evals.bleu_test.BLEUTest",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/1da494ca95036ff07597623bf6419f02712a7640,Extract Method,"Location: txtgen/modules/networks.py/FeedForwardNetwork
The method ""_build_layers"" is extracted from the method ""__init__"" in the class ""FeedForwardNetwork""",PyRef,TP,
https://github.com/asyml/texar/commit/1fa0bb3b8a8f1dbf75c24415631011d3e2fcec25,Add Parameter,"Location: texar/data/data_utils.py
Add Parameter	filenames : Any in method package maybe_download(urls Any, path Any, filenames Any, extract Any) : void from class org.texar.data.data_utils.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/1fa0bb3b8a8f1dbf75c24415631011d3e2fcec25,Extract Method,"Location: texar/data/data_utils.py
Extract Method	package _download(url Any, filename Any, path Any) : void extracted from package maybe_download(urls Any, path Any, extract Any) : void in class org.texar.data.data_utils.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package _common_default_conv_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package _common_default_conv_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_conv1d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_conv1d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_conv2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_conv2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_conv3d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_conv3d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_conv2d_transpose_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_conv2d_transpose_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_conv3d_transpose_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_conv3d_transpose_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_dense_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_dense_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_dropout_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_dropout_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_flatten_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_flatten_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_max_pooling1d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_max_pooling1d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_max_pooling2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_max_pooling2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_max_pooling3d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_max_pooling3d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_separable_conv2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_separable_conv2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_batch_normalization_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_batch_normalization_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_average_pooling1d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_average_pooling1d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_average_pooling2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_average_pooling2d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package default_average_pooling3d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass1 to package default_average_pooling3d_kwargs() : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package get_layer(hparams Any) : void from class org.txtgen.core.layers.PyDummyClass1 to package get_layer(hparams Any) : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package sinusoid_positional_encoding(inputs Any, zero_pad Any, scale Any, reuse Any, position_duration Any, scope Any) : void from class org.txtgen.core.layers.PyDummyClass1 to package sinusoid_positional_encoding(inputs Any, zero_pad Any, scale Any, reuse Any, position_duration Any, scope Any) : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package multihead_attention(queries Any, keys Any, num_units Any, num_heads Any, dropout_rate Any, causality Any, scope Any, reuse Any) : void from class org.txtgen.core.layers.PyDummyClass1 to package multihead_attention(queries Any, keys Any, num_units Any, num_heads Any, dropout_rate Any, causality Any, scope Any, reuse Any) : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package poswise_feedforward(attended_dec Any, scope Any, reuse Any) : void from class org.txtgen.core.layers.PyDummyClass1 to package poswise_feedforward(attended_dec Any, scope Any, reuse Any) : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/215319a2e0d03c77c2047672ef86662a0aebb7c3,Move Method,"Location: txtgen/core/layers.py
Move Method	package normalize(inputs Any, epsilon Any, scope Any, reuse Any) : void from class org.txtgen.core.layers.PyDummyClass1 to package normalize(inputs Any, epsilon Any, scope Any, reuse Any) : void from class org.txtgen.core.layers.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/226214dcccb7ccc160943291d582cd70a5fe884c,Remove Parameter,"Location: texar/core/layers.py
The parameter(s) ""mode"" is/are removed from the method ""sinusoid_positional_encoding""",PyRef,TP,
https://github.com/asyml/texar/commit/226214dcccb7ccc160943291d582cd70a5fe884c,Rename Method,"Location: examples/eval.py
The method ""eval"" is renamed to ""evaluate""",PyRef,TP,
https://github.com/asyml/texar/commit/2546dbadb426502d169aed5beb5933255b6f2208,Change/Rename Parameter,"Location: examples/tsf/utils.py
The parameter(s) ""shuffle"" of the method ""get_batches"" is/are changed/renamed to ""sort""",PyRef,TP,
https://github.com/asyml/texar/commit/268c480aef0c651819913f30fff0d6fb6d379d5c,Rename Method,"Location: texar/core/layers.py/MergeLayer
The method ""_compute_output_shape"" in the class ""MergeLayer"" is renamed to ""compute_output_shape""",PyRef,TP,
https://github.com/asyml/texar/commit/268c480aef0c651819913f30fff0d6fb6d379d5c,Rename Method,"Location: texar/core/layers.py/SequentialLayer
The method ""_compute_output_shape"" in the class ""SequentialLayer"" is renamed to ""compute_output_shape""",PyRef,TP,
https://github.com/asyml/texar/commit/27772ab52eb4ca43c0557209fc78ae5456441f7e,Add Parameter,"Location: texar/modules/encoders/hierarchical_encoders_new.py
Add Parameter	medium : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, medium_after_depack Any) : void from class org.texar.modules.encoders.hierarchical_encoders_new.HierarchicalRNNEncoder Add Parameter	medium_after_depack : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, medium_after_depack Any) : void from class org.texar.modules.encoders.hierarchical_encoders_new.HierarchicalRNNEncoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/2b858e6f082db57d94bb515cceb149b3856f03b4,Pull Up Method,"Location: txtgen/modules/encoders/rnn_encoders.py
The method ""default_hparams"" of the class ""ForwardRNNEncoder""in the file ""txtgen/modules/encoders/rnn_encoders.py""is pulled up to the class ""EncoderBase""in the file ""txtgen/modules/encoders/encoder_base.py""",PyRef,TP,
https://github.com/asyml/texar/commit/2e2201f57c37c6a0f668e7e7958ce7ac4ce5e755,Remove Parameter,"Location: texar/modules/decoders/transformer_decoders.py
Remove Parameter	vocab_size : Any in method package _make_output_layer_from_tensor(self TransformerDecoder, output_layer_tensor Any, vocab_size Any) : void from class org.texar.modules.decoders.transformer_decoders.TransformerDecoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3201d1adb2f21542fa26e63b7b855dad9f52608b,Rename Method,"Location: texar/models/model_base.py/ModelBase
The method ""_build"" in the class ""ModelBase"" is renamed to ""build""",PyRef,TP,
https://github.com/asyml/texar/commit/3497526703e85981f39b643e923dcb1e40eec366,Add Parameter,"Location: texar/modules/encoders/rnn_encoders.py
Add Parameter	input_size : Any in method package _forward_single_output_layer(inputs Any, input_size Any, output_layer Any, flatten_inputs Any) : void from class org.texar.modules.encoders.rnn_encoders.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3497526703e85981f39b643e923dcb1e40eec366,Add Parameter,"Location: texar/modules/encoders/rnn_encoders.py
Add Parameter	input_size : Any in method package _forward_output_layers(inputs Any, input_size Any, output_layer Any, time_major Any, hparams Any, mode Any, sequence_length Any) : void from class org.texar.modules.encoders.rnn_encoders.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3497526703e85981f39b643e923dcb1e40eec366,Add Parameter,"Location: texar/modules/encoders/rnn_encoders.py
Add Parameter	return_output_size : Any in method package _build(self UnidirectionalRNNEncoder, inputs Any, sequence_length Any, initial_state Any, time_major Any, mode Any, return_cell_output Any, return_output_size Any) : void from class org.texar.modules.encoders.rnn_encoders.UnidirectionalRNNEncoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3497526703e85981f39b643e923dcb1e40eec366,Add Parameter,"Location: texar/modules/encoders/rnn_encoders.py
Add Parameter	return_output_size : Any in method package _build(self BidirectionalRNNEncoder, inputs Any, sequence_length Any, initial_state_fw Any, initial_state_bw Any, time_major Any, mode Any, return_cell_output Any, return_output_size Any) : void from class org.texar.modules.encoders.rnn_encoders.BidirectionalRNNEncoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3497526703e85981f39b643e923dcb1e40eec366,Add Parameter,"Location: texar/utils/shapes.py
Add Parameter	flattened_dim : Any in method package flatten(tensor Any, preserve_dims Any, flattened_dim Any) : void from class org.texar.utils.shapes.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/35e294c9f6f3e0c719acd4bb9d8efe1058552492,Remove Parameter,"Location: texar/data/data/paired_text_data.py/PairedTextData
The parameter(s) ""mode"" is/are removed from the method ""_process_dataset"" in the class ""PairedTextData""",PyRef,TP,
https://github.com/asyml/texar/commit/36f4b18340e2974cfee80e5c347bf7ae7459ab88,Rename Method,"Location: txtgen/models/tsf/ops.py
The method ""greey_softmax"" is renamed to ""greedy_softmax""",PyRef,TP,
https://github.com/asyml/texar/commit/38d8b5c4019a672779eb3817222b5eab4a295c1e,Add Parameter,"Location: texar/modules/encoders/hierarchical_encoders.py
Add Parameter	sequence_length_major : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, sequence_length_major Any, sequence_length_minor Any) : void from class org.texar.modules.encoders.hierarchical_encoders.HierarchicalRNNEncoder Add Parameter	sequence_length_minor : Any in method package _build(self HierarchicalRNNEncoder, inputs Any, order Any, medium Any, sequence_length_major Any, sequence_length_minor Any) : void from class org.texar.modules.encoders.hierarchical_encoders.HierarchicalRNNEncoder",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3bf4e14be2f2d6cf54df7f993e2ffe842ed31d26,Rename Method,"Location: txtgen/core/networks.py/FeedForwardNetwork
The method ""__init__"" in the class ""FeedForwardNetwork"" is renamed to ""_build""",PyRef,FP,
https://github.com/asyml/texar/commit/3bf4e14be2f2d6cf54df7f993e2ffe842ed31d26,Change/Rename Parameter,"Location: txtgen/core/networks.py/FeedForwardNetwork
The parameter(s) ""hparams"" of the method ""__init__"" in the class ""FeedForwardNetwork"" is/are changed/renamed to ""inputs""",PyRef,FP,
https://github.com/asyml/texar/commit/3d44f0d724b9a7d832533935f1524e58a3bcf041,Add Parameter,"Location: texar/losses/mle_losses.py
Add Parameter	zero_pad : Any in method package smoothing_cross_entropy(logits Any, labels Any, vocab_size Any, confidence Any, gaussian Any, zero_pad Any) : void from class org.texar.losses.mle_losses.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3f21c15959df4056fe263dc1c75baf4b7e7270fb,Add Parameter,"Location: texar/models/tsf/ops.py
Add Parameter	p : Any in method package gumbel_softmax(gamma Any, logits Any, p Any, straight_through Any) : void from class org.texar.models.tsf.ops.PyDummyClass1 Add Parameter	straight_through : Any in method package gumbel_softmax(gamma Any, logits Any, p Any, straight_through Any) : void from class org.texar.models.tsf.ops.PyDummyClass1",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/3f21c15959df4056fe263dc1c75baf4b7e7270fb,Move Method,"Location: texar/models/tsf/ops.py
Move Method	package retrieve_variables(scopes Any) : void from class org.texar.models.tsf.ops.PyDummyClass1 to package retrieve_variables(scopes Any) : void from class org.texar.models.tsf.ops.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/3f21c15959df4056fe263dc1c75baf4b7e7270fb,Move Method,"Location: texar/models/tsf/ops.py
Move Method	package feed_dict(model Any, batch Any, rho Any, gamma Any, dropout Any, learning_rate Any) : void from class org.texar.models.tsf.ops.PyDummyClass1 to package feed_dict(model Any, batch Any, rho Any, gamma Any, dropout Any, learning_rate Any) : void from class org.texar.models.tsf.ops.PyDummyClass2",Python-adapted RMiner,FP,
https://github.com/asyml/texar/commit/3f962dad1598e32428f0d453e86a6b2647012101,Remove Parameter,"Location: txtgen/modules/decoders/rnn_decoders.py/AttentionRNNDecoder
The parameter(s) ""mode"" is/are removed from the method ""__init__"" in the class ""AttentionRNNDecoder""",PyRef,TP,
https://github.com/asyml/texar/commit/3fab837876e9d45b9d78e33d32e5220812f2712b,Rename Method,"Location: examples/transformer/data_load.py
The method ""load_en_vocab"" is renamed to ""load_shared_vocab""",PyRef,CTP,"Conditional true positive: methods got merged with a new name. As merge method is not supported yet, we consider it as CTP"
https://github.com/asyml/texar/commit/4214c1f62e4c044f9d8cab5be32bb6a26d06af8b,Add Parameter,"Location: txtgen/modules/decoders/rnn_decoder_base.py
Add Parameter	embedding : Any in method package __init__(self RNNDecoderBase, cell Any, embedding Any, embedding_trainable Any, vocab_size Any, hparams Any, name Any) : void from class org.txtgen.modules.decoders.rnn_decoder_base.RNNDecoderBase Add Parameter	embedding_trainable : Any in method package __init__(self RNNDecoderBase, cell Any, embedding Any, embedding_trainable Any, vocab_size Any, hparams Any, name Any) : void from class org.txtgen.modules.decoders.rnn_decoder_base.RNNDecoderBase
Add Parameter	vocab_size : Any in method package __init__(self RNNDecoderBase, cell Any, embedding Any, embedding_trainable Any, vocab_size Any, hparams Any, name Any) : void from class org.txtgen.modules.decoders.rnn_decoder_base.RNNDecoderBase",Python-adapted RMiner,TP,
https://github.com/asyml/texar/commit/4287aef6a3a82436b4e3e156b22ede235eb4e6ba,Remove Parameter,"Location: texar/core/layers.py
The parameter(s) ""mode"" is/are removed from the method ""multihead_attention""",PyRef,TP,
https://github.com/asyml/texar/commit/4419dbd0a344ea7bbe38926d53e8ab181f49d680,Change/Rename Parameter,"Location: examples/language_model_ptb/lm_ptb.py
The parameter(s) ""data"" of the method ""_run_epoch"" is/are changed/renamed to ""data_iter""",PyRef,TP,
https://github.com/asyml/texar/commit/458e0db65dd2e808d34bbb7dbeea5bf48739dd0f,Add Parameter,"Location: texar/data/data/mono_text_data.py/MonoTextData
The parameter(s) ""chained"" in the class ""MonoTextData""is/are added to the method ""_make_processor""",PyRef,TP,
